My rating,Original Title,Year
9,Nocturnal Animals,2016
8,The Life & Times of Tim,2008-2012
9,Chi bi: Jue zhan tian xia,2008
7,Office Space,1999
7,Magnolia,1999
7,Elle,2016
8,Nightcrawler,2013
8,Allied,2016
6,This Means War,2012
8,Steve Jobs: The Man in the Machine,2015
8,Benny's Video,1992
6,The King of Ads,1991
10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
8,Who Killed the Electric Car?,2006
6,21 & Over,2013
6,Duplex,2003
7,Project X,2012
5,Neighbors 2: Sorority Rising,2016
6,Neighbors,2014
10,Shameless,2011-2021
7,17 Again,2009
5,Charlie's Angels: Full Throttle,2003
6,Charlie's Angels,2000
6,Bedtime Stories,2008
8,Marley & Me,2008
7,Meet the Fockers,2004
6,The Switch,2010
7,Horrible Bosses 2,2014
10,Friends,1994-2004
8,Mr. Church,2016
8,Objectified,2009
6,Destricted,2006
10,Marina Abramovic: The Artist Is Present,2012
6,Chroniques sexuelles d'une famille d'aujourd'hui,2012
8,Nymphomaniac: Vol. II,2013
6,,2000
10,Nuovo Cinema Paradiso,1988
8,The Secret Rules of Modern Living: Algorithms,2015
8,Lo and Behold: Reveries of the Connected World,2016
7,Nude,2017
9,Psycho,1960
7,Shichinin no samurai,1954
7,Life as We Know It,2010
9,,1962
9,City Lights,1931
8,Manifesto,2015
8,The Meaning of Life,1983
8,Life of Brian,1979
8,Monty Python and the Holy Grail,1975
9,The Square,2017
9,The Jungle Book,2016
7,A Dangerous Method,2011
8,Inside Man,2006
7,Public Enemies,2009
8,The Town,2010
8,Hell or High Water,2016
6,Maze Runner: The Death Cure,2018
7,Maze Runner: The Scorch Trials,2015
7,The Maze Runner,2014
7,Scott Pilgrim vs. the World,2010
8,The Brink,2015
9,Lion,2016
8,Everything Is Illuminated,2005
6,Crimson Peak,2015
8,Flight,2012
8,Sully,2016
5,Into the Blue,2005
7,The Beach,2000
8,Doctor Strange,2016
6,The Nice Guys,2016
7,Jian yu,2010
5,Eddie the Eagle,2015
8,Chi bi,2008
7,Scary Movie 2,2001
7,Scary Movie,2000
8,Back to the Future Part III,1990
9,Django Unchained,2012
10,Movie 43,2013
5,Garfield,2004
8,Ted 2,2015
8,Lost in Translation,2003
10,WALL·E,2008
7,Passengers,2016
8,District 9,2009
8,Children of Men,2006
8,The Thirteenth Tale,2013
7,Kick-Ass,2010
8,The Man from U.N.C.L.E.,2015
7,Spy,2015
8,Kingsman: The Secret Service,2015
8,Guardians of the Galaxy,2014
6,Baby Driver,2017
8,Léon,1994
8,Drive,2011
10,Interstellar,2014
9,Moon,2009
8,Pulp Fiction,1994
9,Se7en,1995
9,No Country for Old Men,2007
10,Captain Fantastic,2016
7,Naked Lunch,1991
7,Hable con ella,2002
8,The Secret Life of Walter Mitty,2013
9,The Straight Story,1999
8,Le scaphandre et le papillon,2007
7,The Green Hornet,2011
9,Salinui chueok,2003
8,Snowpiercer,2013
7,Gran Torino,2008
7,Mulholland Dr.,2001
5,27 Dresses,2008
9,Never Let Me Go,2010
7,Repo Men,2009
9,Get Out,2017
7,This Is Where I Leave You,2014
6,Griffin & Phoenix,2006
9,The Sunset Limited,2010
9,Boiler Room,2000
8,Glengarry Glen Ross,1992
9,Gegen die Wand,2003
5,You Again,2010
5,Bride Wars,2009
7,Bridesmaids,2011
8,El secreto de sus ojos,2009
6,Happy-Go-Lucky,2008
7,Blade II,2002
8,Coraline,2008
8,The Fall,2006
8,El laberinto del fauno,2006
8,Me and Earl and the Dying Girl,2015
6,Double Jeopardy,1999
8,Ying xiong,2002
6,The Voices,2014
8,La Vénus à la fourrure,2013
7,Jeux d'enfants,2003
5,Bridget Jones: The Edge of Reason,2004
6,It,1990
7,It,2017
7,The Big White,2004
,,2007
8,Jagten,2012
7,The Magnificent Seven,2016
6,Bridget Jones's Diary,2001
6,300: Rise of an Empire,2013
7,The Big Kahuna,1999
6,A Lot Like Love,2005
6,,2013
7,Spartacus: Blood and Sand,2010-2013
7,Spartacus: Gods of the Arena,2011
6,Transporter 3,2008
6,Safe,2012
7,The Equalizer,2014
8,Man on Fire,2004
10,Game of Thrones,2011-2019
8,,1987
8,Calvary,2013
7,8 femmes,2001
7,Ace Ventura: Pet Detective,1993
6,Liar Liar,1997
7,The Boat That Rocked,2009
7,Love Actually,2003
7,Inside I'm Dancing,2004
6,Blade: Trinity,2004
5,R.I.P.D.,2013
7,Lola rennt,1998
8,11:14,2003
8,August: Osage County,2013
6,Fargo,1995
9,The Hateful Eight,2015
7,Raising Arizona,1987
5,Loverboy,1989
6,A Little Bit of Heaven,2010
8,Bicentennial Man,1999
7,Closer,2004
6,,2011
6,Sleeping with the Enemy,1991
8,Carnage,2011
7,Inside Llewyn Davis,2012
7,Redirected,2014
7,Le prénom,2012
7,The Air I Breathe,2007
6,Inherent Vice,2014
6,Paper Towns,2015
6,Fun with Dick and Jane,2005
7,What About Bob?,1991
6,Analyze That,2002
7,Anger Management,2003
7,Analyze This,1999
7,Me Before You,2016
7,The Fault in Our Stars,2014
7,Tropic Thunder,2008
6,The Men Who Stare at Goats,2009
8,In the Valley of Elah,2007
6,Killing Me Softly,2001
6,Date Night,2010
7,Unfaithful,2002
6,Partir,2009
7,Lone Survivor,2013
5,Enemy of the State,1998
6,Kong: Skull Island,2017
7,Wrongfully Accused,1998
7,Edge of Darkness,2010
5,"Dude, Where's My Car?",2000
7,Bad Santa,2003
8,The Big Lebowski,1998
7,Korgoth of Barbaria,2006
7,Alois Nebel,2011
7,Pour elle,2008
8,The Perks of Being a Wallflower,2012
8,Tillsammans,2000
7,Chopper,2000
7,Wendy and Lucy,2008
8,Les valseuses,1974
8,Vals Im Bashir,2008
7,The Fugitive,1993
8,Snatch,2000
6,Pineapple Express,2008
7,An American Crime,2007
8,Babel,2006
6,Click,2006
5,Tekken,2009
5,Mortal Kombat,1995
6,The Cobbler,2014
7,Bitter Moon,1992
7,Basic Instinct,1992
7,Nine 1/2 Weeks,1985
5,Transformers: Age of Extinction,2014
6,The Fate of the Furious,2017
6,Populaire,2012
8,50/50,2011
6,How to Lose a Guy in 10 Days,2003
8,Biutiful,2009
5,Down with Love,2003
7,Demolition,2015
9,Das weiße Band - Eine deutsche Kindergeschichte,2009
6,Stellet Licht,2007
5,Without a Paddle,2004
6,The Hangover Part II,2011
8,La limita de jos a cerului,2013
6,Burn After Reading,2008
8,In Bruges,2007
7,Dom Hemingway,2013
7,Bronson,2008
7,Fish Tank,2009
6,Chozen,2014
6,White Material,2009
6,The Girl Next Door,2007
10,Dogville,2003
4,The Human Centipede (First Sequence),2009
6,Salò o le 120 giornate di Sodoma,1975
6,We Bought a Zoo,2011
6,This Is 40,2012
7,The Big Short,2015
5,The Hangover Part III,2013
7,,2004
9,Amores perros,2000
6,,2011
5,Dirty Deeds,2005
6,Caligula,1979
8,21 Grams,2003
8,Spotlight,2015
8,"I Love You, Man",2009
7,10 Things I Hate About You,1999
6,100 Girls,2000
9,Cidade de Deus,2002
8,The Grand Budapest Hotel,2014
7,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
7,The Incredibles,2004
8,Ex Machina,2015
6,Avatar,2009
9,The Pianist,2002
9,Gladiator,2000
8,Inside Out,2015
9,Eternal Sunshine of the Spotless Mind,2004
7,Assassin's Creed,2016
8,Broken Flowers,2005
8,Doubt,2008
7,The Oblongs...,2001-2002
6,The Road to El Dorado,2000
6,Ben-Hur,2016
9,Oldeuboi,2003
8,The Man from Earth,2007
8,K-PAX,2001
8,L'appartement,1996
7,Ne le dis à personne,2006
6,Men in Black II,2002
5,Femme Fatale,2002
7,Arrival,2016
5,A Dog's Purpose,2017
5,Fantastic Four,2005
5,The Madagascar Penguins in a Christmas Caper,2005
6,Nerve,2016
6,John Wick,2014
7,State of Play,2009
6,Spider-Man 2,2004
7,Mad Max: Fury Road,2015
,The Number 23,2007
7,Signs,2002
6,Cellular,2004
7,La Cérémonie,1995
7,Mission Hill,1999-2002
10,Band of Brothers,2001
8,Primal Fear,1996
8,Moonbeam City,2015
7,Eden Lake,2008
7,Step Up,2006
6,Step Up 2: The Streets,2008
6,,2010
7,25th Hour,2002
7,A Scanner Darkly,2006
8,Rear Window,1954
8,Rope,1948
7,Red Lights,2011
7,Blue Mountain State,2010-2011
5,Syrup,2011
6,Sausage Party,2016
6,High School USA!,2013-2015
6,Jerry Maguire,1996
8,Der siebente Kontinent,1989
8,A Clockwork Orange,1971
6,Allen Gregory,2011
7,Straw Dogs,1971
5,The Incredible Burt Wonderstone,2013
8,Munich,2005
7,Now You See Me 2,2016
7,Coach Carter,2005
8,Black Swan,2010
8,Les petits mouchoirs,2010
7,Unsupervised,2012
9,Mystic River,2003
7,Ah-ga-ssi,2016
8,Le locataire,1976
8,Perfetti sconosciuti,2016
8,Room,2015
6,Under the Skin,2013
6,The Double,2013
8,Funny Games,1997
8,Moneyball,2011
9,Kynodontas,2009
6,Misfits,2009-2013
9,,1988
7,Frances Ha,2012
9,Inside No. 9,2014
6,Brazil,1985
6,Equals,2015
9,La piel que habito,2011
10,The Truman Show,1998
9,Den brysomme mannen,2006
10,Her,2013
9,The Lobster,2015
9,Robot Chicken,2005
8,Before Night Falls,2000
9,Jodaeiye Nader az Simin,2011
8,"Girl, Interrupted",1999
7,Ultimo tango a Parigi,1972
7,Fast Times at Ridgemont High,1982
9,Libre et assoupi,2013
7,Batman: Assault on Arkham,2014
7,Arthur Christmas,2011
9,Sherlock,2010-2017
6,The Infiltrator,2016
6,X-Men: Apocalypse,2016
6,La cara oculta,2011
6,Panic Room,2002
6,Suicide Squad,2016
9,The Martian,2015
8,Lord of War,2005
7,Kung Fury,2015
6,Turbo Kid,2015
6,Fresh Meat,2011-2016
8,God Bless America,2011
8,Disconnect,2012
7,Sight,2012
10,Black Mirror,2011
7,Warcraft,2016
8,The Thirteenth Floor,1999
5,G.I. Joe: The Rise of Cobra,2009
9,Enemy,2013
7,The IT Crowd,2006-2013
8,The Lost Thing,2010
9,Enter the Void,2009
9,Irréversible,2002
8,Patch Adams,1998
7,The Book Thief,2013
7,"Love, Rosie",2014
6,Secret Window,2004
5,HK: Hentai Kamen,2013
9,Steve Jobs,2015
7,The Jacket,2004
6,Escape Plan,2013
7,Next,2007
7,Deja Vu,2006
6,Angry Birds,2016
9,Ce lume minunata,2014
7,Ronal Barbaren,2011
9,The Machinist,2004
8,Human Traffic,1999
6,Napoleon Dynamite,2004
6,Pelé: Birth of a Legend,2016
8,The Butterfly Circus,2009
9,Archer,2009
7,This Is the End,2013
7,The Dictator,2012
7,The Interview,2014
6,Along Came Polly,2004
7,Night at the Museum,2006
5,The Heartbreak Kid,2007
7,Forgetting Sarah Marshall,2008
6,The Stepford Wives,2004
8,The Joneses,2010
6,Grown Ups,2010
8,Horrible Bosses,2011
8,We're the Millers,2013
6,Just Go with It,2011
6,Ice Age: Dawn of the Dinosaurs,2009
9,Walk the Line,2005
7,Open Range,2003
9,Bowling for Columbine,2002
7,On the Road,2012
7,Bullets Over Broadway,1994
8,,2010
6,,2004
8,The Negotiator,1998
9,Jacob's Ladder,1990
9,Nothing Personal,2009
7,Little Fockers,2010
7,Reindeer Games,2000
8,Alpha Dog,2005
7,Cirque du Soleil: Worlds Away,2012
9,,2006
7,2 Guns,2013
8,,2014-2016
8,Being John Malkovich,1999
6,Wasabi,2001
8,Lee Daniels' the Butler,2013
5,2 Fast 2 Furious,2003
5,Shrek the Third,2007
8,Y tu mamá también,2001
6,Scusa ma ti chiamo amore,2008
6,The Ninth Gate,1999
9,,2012
6,Gangster Squad,2013
7,Secretary,2001
8,Mortal Kombat,2011-2013
7,Derailed,2005
5,Fireproof,2008
6,Dinosaur,2000
8,Side Effects,2013
8,There Will Be Blood,2007
6,Batman v Superman: Dawn of Justice,2016
7,The Transporter,2002
7,Kill Your Darlings,2013
7,Premium Rush,2012
8,Ti einai afto?,2007
6,Saphirblau,2014
6,Rubinrot,2013
9,Argo,2012
8,Colonia,2015
8,Seven Psychopaths,2012
6,Step Up 3D,2010
6,The Fifth Element,1997
8,I Origins,2014
8,Rollin' Safari,2012
9,El cuerpo,2012
7,Fracture,2007
6,,2016
7,Grimsby,2016
9,American Psycho,2000
8,"Crazy, Stupid, Love.",2011
9,Awakenings,1990
,Wreck-It Ralph,2012
8,Banlieue 13,2004
7,Bad Boys II,2003
5,Universal Soldier,1992
10,Relatos salvajes,2014
8,X2,2003
7,What Women Want,2000
8,Big,1988
8,Toy Story,1995
7,Finding Nemo,2003
8,Scream,1996
7,50 First Dates,2004
8,Freedom Writers,2006
7,Cars,2006
7,You've Got Mail,1998
7,Bad Boys,1995
9,Spirit: Stallion of the Cimarron,2002
8,The 10th Kingdom,2000
8,Groundhog Day,1993
8,Conviction,2010
6,Sex and the City 2,2010
8,Identity,2003
9,The Revenant,2015
6,Deception,2008
6,The Lucky One,2011
8,Homefront,2013
7,Hummingbird,2012
9,Stoker,2012
7,The F Word,2013
8,Kvinden i buret,2013
7,Lucy,2014
9,RED,2010
8,Transcendence,2014
10,The Dark Knight,2008
8,The Bucket List,2007
9,Up in the Air,2009
7,At Middleton,2013
6,Dredd,2012
9,The Call,2013
8,Jeune et jolie,2013
7,20 ans d'écart,2012
9,Anastasia,1997
8,The Bourne Identity,2002
7,Ocean's Twelve,2004
7,Ocean's Thirteen,2007
9,99 francs,2007
9,Hancock,2008
10,The Matrix Reloaded,2003
9,21,2008
9,X-Men,2000
8,Fast Five,2011
9,Face/Off,1997
9,Chocolat,2000
8,Real Steel,2011
7,Dirty Dancing,1987
8,The Fast and the Furious,2001
8,Taxi,1998
8,The Ugly Truth,2009
7,Pretty Woman,1990
7,Moulin Rouge!,2001
9,P.S. I Love You,2007
7,Charlie and the Chocolate Factory,2005
8,Hitch,2005
9,Bruce Almighty,2003
7,Home Alone 2: Lost in New York,1992
9,Harry Potter and the Order of the Phoenix,2007
8,Tangled,2010
10,What Dreams May Come,1998
9,300,2007
8,Kill Bill: Vol. 1,2003
9,The Day After Tomorrow,2004
9,"I, Robot",2004
9,Harry Potter and the Goblet of Fire,2005
7,Transformers,2007
9,Perfume: The Story of a Murderer,2006
8,Van Helsing,2004
9,,2010
9,Men in Black,1997
9,Harry Potter and the Chamber of Secrets,2002
9,Interview with the Vampire: The Vampire Chronicles,1994
8,Yes Man,2008
9,Troy,2004
7,Constantine,2005
9,V for Vendetta,2006
9,I Am Legend,2007
9,The Hangover,2009
9,Gravity,2013
8,Superfast!,2014
5,Hansel & Gretel: Witch Hunters,2012
9,Locke,2013
7,Cruel Intentions,1999
10,Rick and Morty,2013
9,Deadpool,2016
10,The Usual Suspects,1995
7,Dragonfly,2002
10,The Life of David Gale,2003
10,127 Hours,2010
9,The Terminator,1984
9,The Bourne Ultimatum,2007
10,"House, M.D.",2004-2012
6,xXx,2002
7,Crank,2006
7,The Mask,1994
10,Breaking Bad,2008-2013
10,Prison Break,2005-2017
10,Titanic,1997
9,Signs,2008
10,Into the Wild,2007
6,Sex and the City,2008
8,Pleasantville,1998
8,Vanilla Sky,2001
7,Jumanji,1995
9,La migliore offerta,2012
10,The Game,1997
9,1408,2007
8,A Million Ways to Die in the West,2014
7,Original Sin,2001
7,Wanted,2008
7,Mr. & Mrs. Smith,2005
7,Maleficent,2014
6,Salt,2010
9,Changeling,2008
8,Friends with Benefits,2011
8,In Time,2011
9,The Adjustment Bureau,2011
10,Shutter Island,2009
9,The Matrix,1999
9,The Sixth Sense,1999
10,Inception,2010
8,Equilibrium,2002
8,Lucky Number Slevin,2005
8,Das Experiment,2000
9,Exam,2009
9,Cube,1997
10,The Green Mile,1999
9,The Godfather Trilogy: 1901-1980,1992
4,Battle of the Year,2013
,Milf,2010
6,Mischief,1985
5,Extreme Movie,2007
7,Easy A,2010
6,Road Trip,2000
6,40 Days and 40 Nights,2002
5,Tomcats,2001
8,National Lampoon's Van Wilder,2001
6,Hot Tub Time Machine,2010
7,Porky's,1981
8,Superbad,2007
8,The 40 Year Old Virgin,2005
7,Weird Science,1985
6,The Last American Virgin,1982
5,Harte Jungs,2000
7,Sex Drive,2008
7,American Pie,1999
7,American Wedding,2003
7,American Pie 2,2001
8,EuroTrip,2004
7,Zack and Miri Make a Porno,2008
8,The Girl Next Door,2004
10,Chaplin,1992
,Ted,2012
,Drawn Together,2004-2007
,,2011-2018
,,2008-2011
,Mr. Pickles,2013
9,Whiplash,2013
,Golden Boy,1995-1996
,The Onion Movie,2008
,Grindhouse,2007
9,Life of Pi,2012
8,Toy Story 3,2010
7,Merry Madagascar,2009
8,Pirates,2005
8,,2008
9,The Place Beyond the Pines,2012
,,1977
,Balto,1995
,Rain Man,1988
,Transformers: Dark of the Moon,2011
,The Tourist,2010
,The Expendables,2010
,The Twilight Saga: Breaking Dawn - Part 1,2011
,Terminator Salvation,2009
,Cloud Atlas,2012
,Dorian Gray,2009
,Twilight,2008
,The Twilight Saga: New Moon,2009
10,Slumdog Millionaire,2008
9,A Walk to Remember,2002
9,Man of Steel,2013
10,The Shawshank Redemption,1994
10,Mr. Nobody,2009
9,The Hunger Games,2012
9,Harry Potter and the Deathly Hallows: Part 1,2010
8,Prince of Persia: The Sands of Time,2010
9,The Social Network,2010
8,Remember Me,2010
6,The Twilight Saga: Eclipse,2010
7,2012,2009
7,Alice in Wonderland,2010
10,Unknown,2011
10,Source Code,2011
10,Taken,2007
10,Flightplan,2005
9,Non-Stop,2014
,Lawless,2012
,The Hunger Games: Catching Fire,2013
,The Girl with the Dragon Tattoo,2011
,Batman,1989
,Zodiac,2007
,Focus,2014
,Limitless,2011
,Body of Lies,2008
,Law Abiding Citizen,2009
,Nymphomaniac: Vol. I,2013
,Cast Away,2000
,Requiem for a Dream,2000
,Sweeney Todd: The Demon Barber of Fleet Street,2007
,(500) Days of Summer,2009
,Iron Man,2008
,Spider-Man,2002
,Tres metros sobre el cielo,2010
,Memento,2000
,Now You See Me,2013
,Lo imposible,2012
,Despicable Me,2010
,The Fountain,2006
,The Next Three Days,2010
,The Family,2013
,The Expendables 2,2012
,The Bourne Supremacy,2004
,Knight and Day,2010
,Siu Lam juk kau,2001
,Sherlock Holmes: A Game of Shadows,2011
,The Avengers,2012
,The Judge,2014
,Iron Man 2,2010
,Iron Man 3,2013
,The Holiday,2006
,Batman Begins,2005
,Män som hatar kvinnor,2009
,The Taking of Pelham 123,2009
,Man on a Ledge,2012
,Self/less,2015
,Foolproof,2003
,Harold & Kumar Go to White Castle,2004
,School of Life,2003
,Just Friends,2005
,Waiting...,2005
,The Nines,2006
,Chaos Theory,2007
,Smokin' Aces,2007
,Green Lantern,2011
,The Change-Up,2011
,"Definitely, Maybe",2008
,X-Men Origins: Wolverine,2009
,Paper Man,2009
,Adventureland,2008
,Safe House,2012
,Buried,2010
,Phone Booth,2002
,Silver Linings Playbook,2012
,Scream 2,1997
,Transformers: Revenge of the Fallen,2009
,Fear and Loathing in Las Vegas,1998
,Ant-Man,2015
,The Devil Wears Prada,2006
,,2010-2016
,Avengers: Age of Ultron,2015
,Prisoners,2013
,About Time,2013
,Dallas Buyers Club,2013
,Who Am I - Kein System ist sicher,2014
,The Imitation Game,2014
,Kung Fu Panda,2008
,The Hunger Games: Mockingjay - Part 2,2015
,Kung Fu Panda 2,2011
,Madagascar: Escape 2 Africa,2008
,The Croods,2013
,Madagascar 3: Europe's Most Wanted,2012
,Madagascar,2005
,Lady and the Tramp,1955
,The Little Mermaid,1989
,Shrek,2001
,Meet Joe Black,1998
,Up,2009
,Mulan,1998
,The Curious Case of Benjamin Button,2008
,Harry Potter and the Sorcerer's Stone,2001
,The Illusionist,2005
,Harry Potter and the Prisoner of Azkaban,2004
,"Monsters, Inc.",2001
,Apocalypse Now,1979
,Ice Age,2002
,Gone Girl,2014
,Sherlock Holmes,2009
,October Sky,1999
,Good Will Hunting,1997
,Warrior,2011
,The Terminal,2004
,Home Alone,1990
,Seven Pounds,2008
,Ocean's Eleven,2001
,Million Dollar Baby,2004
,The Boy in the Striped Pajamas,2008
,The Butterfly Effect,2004
,Back to the Future Part II,1989
,Gone with the Wind,1939
,Saving Private Ryan,1998
,Il bisbetico domato,1980
,Beauty and the Beast,1991
,Terminator 2: Judgment Day,1991
,Braveheart,1995
,Cinderella Man,2005
,How to Train Your Dragon,2010
,"Il buono, il brutto, il cattivo",1966
,The Godfather: Part II,1974
,The Notebook,2004
,,1971
,The Lord of the Rings: The Return of the King,2003
,Caché,2004
,Collateral,2004
,A Bug's Life,1998
,A Christmas Carol,1999
,As Good as It Gets,1997
,Le Transporteur II,2005